analysis_name,feature,n_subjects_available,n_subjects_expected_in_analysis,median_PreHI,median_HI,median_difference,bootstrap_ci_95_low_median_difference,bootstrap_ci_95_high_median_difference,median_percentage_change,n_increased,n_decreased,n_unchanged,direction_consistency,dominant_direction,wilcoxon_statistic,wilcoxon_p_value,rank_biserial_effect_size,bootstrap_ci_excludes_zero,bh_fdr_p_value_within_analysis,bh_fdr_significant_within_analysis,absolute_rank_biserial_effect_size,omitted_patient
leave_one_out_exclude_27245,QRS_mean,19,19,0.132103846,0.14475,0.016255105500000006,-0.0002500000000000002,0.03041363349999998,8.40836472039211,12,7,0,0.631578947368421,increased_during_HI,35.0,0.014068603515625,0.631578947368421,False,0.07566315110996226,False,0.631578947368421,27245
leave_one_out_exclude_27245,kurtosis,19,19,6.210000000000001,6.1,1.1349999999999998,0.5299999999999999,2.200000000000001,27.34617775015539,15,4,0,0.7894736842105263,increased_during_HI,43.0,0.036067962646484375,0.5473684210526316,True,0.07566315110996226,False,0.5473684210526316,27245
leave_one_out_exclude_27245,fuzzyEntropy,19,19,0.24,0.24,-0.01999999999999999,-0.09000000000000002,0.0,-10.52631578947368,5,12,2,0.631578947368421,decreased_during_HI,39.0,0.07566315110996226,-0.49019607843137253,False,0.07566315110996226,False,0.49019607843137253,27245
leave_one_out_exclude_27245,entropyProfiled_maximum_sampleEntropy,19,19,2.4850000000000003,2.4,-0.19000000000000006,-0.6150000000000002,0.0,-11.764705882352951,5,12,2,0.631578947368421,decreased_during_HI,35.0,0.04946849467368889,-0.5424836601307189,False,0.07566315110996226,False,0.5424836601307189,27245
leave_one_out_exclude_27245,fd_mean,19,19,7.665,6.970000000000001,-0.3900000000000001,-0.79,0.1499999999999999,-5.252525252525248,6,13,0,0.6842105263157895,decreased_during_HI,50.0,0.07283401489257812,-0.47368421052631576,False,0.07566315110996226,False,0.47368421052631576,27245
leave_one_out_exclude_27245,fd_median,19,19,2.93,1.86,-0.25,-0.8,0.09999999999999987,-5.660377358490571,6,13,0,0.6842105263157895,decreased_during_HI,47.0,0.05457305908203125,-0.5052631578947369,False,0.07566315110996226,False,0.5052631578947369,27245
leave_one_out_exclude_30071,QRS_mean,19,19,0.1368522585,0.157876923,0.004460272000000015,-0.0014142014999999897,0.02906433850000001,3.3968750398655754,11,8,0,0.5789473684210527,increased_during_HI,45.0,0.044559478759765625,0.5263157894736842,False,0.11042675108542957,False,0.5263157894736842,30071
leave_one_out_exclude_30071,kurtosis,19,19,6.210000000000001,6.1,1.1349999999999998,0.125,2.200000000000001,22.02702702702701,14,5,0,0.7368421052631579,increased_during_HI,46.0,0.049365997314453125,0.5157894736842106,True,0.11042675108542957,False,0.5157894736842106,30071
leave_one_out_exclude_30071,fuzzyEntropy,19,19,0.22,0.235,-0.01999999999999999,-0.07,0.0,-10.52631578947368,5,12,2,0.631578947368421,decreased_during_HI,43.0,0.11247621043596484,-0.43790849673202614,False,0.16871431565394726,False,0.43790849673202614,30071
leave_one_out_exclude_30071,entropyProfiled_maximum_sampleEntropy,19,19,2.28,2.285,-0.19000000000000006,-0.6149999999999998,0.0,-11.764705882352951,5,12,2,0.631578947368421,decreased_during_HI,36.0,0.055213375542714785,-0.5294117647058824,False,0.11042675108542957,False,0.5294117647058824,30071
leave_one_out_exclude_30071,fd_mean,19,19,7.665,6.970000000000001,-0.34000000000000075,-0.6949999999999994,0.15499999999999758,-4.4678055190538855,7,12,0,0.631578947368421,decreased_during_HI,62.0,0.1956329345703125,-0.3473684210526316,False,0.1956329345703125,False,0.3473684210526316,30071
leave_one_out_exclude_30071,fd_median,19,19,2.93,1.86,-0.07499999999999996,-0.5700000000000003,0.11000000000000032,-5.285412262156448,7,12,0,0.631578947368421,decreased_during_HI,59.0,0.156402587890625,-0.37894736842105264,False,0.18768310546875,False,0.37894736842105264,30071
leave_one_out_exclude_30851,QRS_mean,19,19,0.132103846,0.157876923,0.016255105500000006,-0.0014142014999999897,0.03041363349999998,8.40836472039211,12,7,0,0.631578947368421,increased_during_HI,37.0,0.0180816650390625,0.6105263157894737,False,0.08181973350594816,False,0.6105263157894737,30851
leave_one_out_exclude_30851,kurtosis,19,19,5.75,5.67,0.8499999999999996,0.125,2.200000000000001,27.34617775015539,14,5,0,0.7368421052631579,increased_during_HI,47.0,0.05457305908203125,0.5052631578947369,True,0.08181973350594816,False,0.5052631578947369,30851
leave_one_out_exclude_30851,fuzzyEntropy,19,19,0.24,0.24,-0.01999999999999999,-0.09000000000000002,0.0,-11.111111111111107,5,12,2,0.631578947368421,decreased_during_HI,38.0,0.06818311125495681,-0.5032679738562091,False,0.08181973350594816,False,0.5032679738562091,30851
