feature,feature_family,excluded_patient_id,n_paired_patients,median_PreHI,median_HI,median_delta_HI_minus_PreHI,n_increase,n_decrease,n_no_change,dominant_direction,direction_consistency,wilcoxon_p,rank_biserial_effect_size,bootstrap_median_delta_ci_low,bootstrap_median_delta_ci_high,bootstrap_ci_excludes_zero,loo_status,analysis_type,baseline_dominant_direction,baseline_median_delta_HI_minus_PreHI,baseline_direction_consistency,baseline_wilcoxon_p,baseline_rank_biserial_effect_size,baseline_bootstrap_ci_excludes_zero,direction_matches_baseline,median_delta_sign_matches_baseline,direction_consistency_drop,p_value_ratio_vs_baseline,potentially_influential_patient_flag
HRV_pNN50,HRV,906,19,44.44444444,32.62605042,-11.334945930000009,7,12,0,decrease,0.631578947368421,0.049365997314453125,-0.5157894736842106,-16.41573228500001,1.5062300949999994,0,adequate_sample_size,leave_one_patient_out,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,0.018421052631579005,1.8529495990836198,0
HRV_pNN50,HRV,96305,19,44.44444444,29.30608717,-11.356644789999995,6,13,0,decrease,0.6842105263157895,0.0180816650390625,-0.6105263157894737,-17.378747184999998,0.0340006200000004,0,adequate_sample_size,leave_one_patient_out,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,-0.03421052631578947,0.6786941580756014,0
HRV_pNN50,HRV,96879,19,45.032144945,29.30608717,-11.356644789999995,6,13,0,decrease,0.6842105263157895,0.0180816650390625,-0.6105263157894737,-17.378747184999998,0.0340006200000004,0,adequate_sample_size,leave_one_patient_out,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,-0.03421052631578947,0.6786941580756014,0
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,,20,2.3825000000000003,2.3425000000000002,-0.2550000000000001,5,13,2,decrease,0.65,0.034669963150986444,-0.5672514619883041,-0.615,0.0,0,adequate_sample_size,baseline_all_patients,decrease,-0.2550000000000001,0.65,0.034669963150986444,-0.5672514619883041,0,1,1,0.0,1.0,0
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,10013,19,2.4850000000000003,2.4,-0.19,5,12,2,decrease,0.631578947368421,0.04946849467368889,-0.5424836601307189,-0.6150000000000002,0.0,0,adequate_sample_size,leave_one_patient_out,decrease,-0.2550000000000001,0.65,0.034669963150986444,-0.5672514619883041,0,1,1,0.018421052631579005,1.4268401283916967,0
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,1049,19,2.4850000000000003,2.4,-0.19,5,12,2,decrease,0.631578947368421,0.055213375542714785,-0.5294117647058824,-0.6149999999999998,0.0,0,adequate_sample_size,leave_one_patient_out,decrease,-0.2550000000000001,0.65,0.034669963150986444,-0.5672514619883041,0,1,1,0.018421052631579005,1.5925420890198965,0
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,1855,19,2.28,2.285,-0.19,5,12,2,decrease,0.631578947368421,0.055213375542714785,-0.5294117647058824,-0.6149999999999998,0.0,0,adequate_sample_size,leave_one_patient_out,decrease,-0.2550000000000001,0.65,0.034669963150986444,-0.5672514619883041,0,1,1,0.018421052631579005,1.5925420890198965,0
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,26398,19,2.28,2.285,-0.19,5,12,2,decrease,0.631578947368421,0.055213375542714785,-0.5294117647058824,-0.6149999999999998,0.0,0,adequate_sample_size,leave_one_patient_out,decrease,-0.2550000000000001,0.65,0.034669963150986444,-0.5672514619883041,0,1,1,0.018421052631579005,1.5925420890198965,0
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,26502,19,2.28,2.285,-0.3200000000000003,5,13,1,decrease,0.6842105263157895,0.034669963150986444,-0.5672514619883041,-0.6150000000000002,0.0,0,adequate_sample_size,leave_one_patient_out,decrease,-0.2550000000000001,0.65,0.034669963150986444,-0.5672514619883041,0,1,1,-0.03421052631578947,1.0,0
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,27245,19,2.4850000000000003,2.4,-0.19,5,12,2,decrease,0.631578947368421,0.04946849467368889,-0.5424836601307189,-0.6150000000000002,0.0,0,adequate_sample_size,leave_one_patient_out,decrease,-0.2550000000000001,0.65,0.034669963150986444,-0.5672514619883041,0,1,1,0.018421052631579005,1.4268401283916967,0
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,30071,19,2.28,2.285,-0.19,5,12,2,decrease,0.631578947368421,0.055213375542714785,-0.5294117647058824,-0.6149999999999998,0.0,0,adequate_sample_size,leave_one_patient_out,decrease,-0.2550000000000001,0.65,0.034669963150986444,-0.5672514619883041,0,1,1,0.018421052631579005,1.5925420890198965,0
